dominio,classificacao,links,links_ativos,DR,ahrefs_spam,nofollow,lost,categoria_top,anchor_exemplo,url_exemplo
it.wikipedia.org,NICHO,1,1,97,0,1,0,Entertainment,Ainda sobre os 30 anos,https://it.wikipedia.org/wiki/True_Blood
ca.wikipedia.org,NICHO,2,2,97,0,2,0,Sports,Sócrates a papodebola.com.br,https://ca.wikipedia.org/wiki/S%C3%B3crates_Brasileiro_Sampaio_de_Souza_Vieira_de_Oliveira
pt.wikipedia.org,NICHO,24,24,97,0,24,0,Society,«Perfil no website Papo de Bola»,https://pt.wikipedia.org/wiki/Paloma_Tocci
en.wikipedia.org,NICHO,10,10,97,0,10,0,Sports,"""Gatti, El loco""",https://en.wikipedia.org/wiki/Hugo_Gatti
ru.wikipedia.org,NICHO,6,6,97,0,6,0,Sports,оригинала,"https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D1%82%D0%BE%D1%81,_%D0%9D%D0%B8%D0%BB%D1%82%D0%BE%D"
so.wikipedia.org,NICHO,2,2,97,0,2,0,Sports,"""Gatti, El loco""",https://so.wikipedia.org/wiki/Hugo_Gatti
natelinha.uol.com.br,NICHO,4,4,91,0,0,0,(sem),www.papodebola.com.br,https://natelinha.uol.com.br/colunas/2011/11/03/papo-de-bola-rede-fuso-da-globo-e-sua-interferencia-
matamata-arquivo.webnode.page,NICHO,2,2,84,0,2,0,Sports,www.papodebola.com.br,https://matamata-arquivo.webnode.page/paulo-fachel-15-07-2014/
jornalggn.com.br,NICHO,1,1,64,0,0,0,(sem),http://www.papodebola.com.br/papodemidia/profissio,https://jornalggn.com.br/cultura/jornalista-roberto-porto-urgente/
w20.b2m.cz,NICHO,1,1,54,0,0,0,(sem),Desarmar O Adversário Com Os Dois Pés No Futebol,https://w20.b2m.cz/post/desarmar-o-adversario-com-os-dois-pes-no-futebol.html
portaldosjornalistas.com.br,NICHO,121,121,51,0,0,0,(sem),http://www.papodebola.com.br/papodemidia/profissio,https://www.portaldosjornalistas.com.br/jornalista/odinei-ribeiro/
ipfs.desmos.network,NICHO,1,1,50,0,0,0,Sports,Cinco anos da TV Esporte Interativo,https://ipfs.desmos.network/ipfs/QmXoypizjW3WknFiJnKLwHCnL72vedxjQkDDP1mXWo6uco/wiki/Esporte_Interat
guiademidia.com.br,NICHO,4,4,47,0,0,0,Sports,Papo de Bola,https://www.guiademidia.com.br/futebol/campo.htm
linguateca.pt,NICHO,3,3,47,0,3,0,Sports,Santos: 95 anos,https://www.linguateca.pt/GikiCLEF/GIRA/pool/GikiCLEF2009DocumentPool/pt/s/a/n/Santos_Futebol_Clube_
umdoisesportes.com.br,NICHO,3,3,44,0,0,0,(sem),Papo de Bola,https://www.umdoisesportes.com.br/futebol/golaco-da-banda-b/
руни.рф,NICHO,10,10,42,0,10,0,(sem),"Dirceu Lopes, o príncipe do futebol (1946-)","https://руни.рф/%D0%9B%D0%BE%D0%BF%D0%B5%D1%81,_%D0%94%D0%B8%D1%80%D1%81%D0%B5%D1%83"
forums.tibiabr.com,NICHO,1,1,39,0,0,0,(sem),aqui,https://forums.tibiabr.com/threads/194018-ranking-das-torcidas-feita-pela-cnt-sensus/page2
en.chped.com,NICHO,1,1,35,0,1,0,Sports,Cinco anos da TV Esporte Interativo,https://en.chped.com/wiki/TNT_Sports_(Brazil)
verminososporfutebol.com.br,NICHO,4,4,34,0,0,0,Sports,Papo de Bola,https://www.verminososporfutebol.com.br/recomendamos/
forum.outerspace.com.br,NICHO,2,2,29,0,2,0,Sports,http://www.papodebola.com.br/futebolnarede/2004113,https://forum.outerspace.com.br/index.php?threads/um-g%C3%AAnio-da-bola-chamado-matthew-le-tissier.6
stunts.hu,NICHO,2,2,29,0,0,0,(sem),Papo de Bola,https://stunts.hu/lol/links.htm
lol.stunts.hu,NICHO,2,2,29,0,0,0,(sem),Papo de Bola,https://lol.stunts.hu/links.htm
audienciacarioca.com.br,NICHO,2,2,22,0,0,0,(sem),A íntegra da coluna poder lida aqui.,http://www.audienciacarioca.com.br/jornalista-da-band-rio-confirma-pulseira-de-festa-com-neymar-e-po
quicknode.quicknode-ipfs.com,NICHO,1,1,22,0,0,0,(sem),Cinco anos da TV Esporte Interativo,https://quicknode.quicknode-ipfs.com/ipfs/QmXoypizjW3WknFiJnKLwHCnL72vedxjQkDDP1mXWo6uco/wiki/Esport
ponteiro.com.br,NICHO,1,1,19,0,0,0,(sem),Nascimento de Antônio Wilson Vieira Honório ('Cout,https://www.ponteiro.com.br/h.php?formdia=1&formmes=1&formano=1&f7=1&f8=1&f9=1&rycpttk=240&formpais=
ecvitorianoticias.com,NICHO,220,220,19,0,0,0,(sem),PapodeBola,http://www.ecvitorianoticias.com/2008/04/
antenadosnatvestreaming.com,NICHO,4,4,18,0,0,0,(sem),Papo de Bola,https://www.antenadosnatvestreaming.com/2014/12/sportv-muda-programacao-no-final-do-ano.html
fmanager.com.br,NICHO,1,1,15,0,1,0,Sports,Papo de Bola,https://www.fmanager.com.br/topic/105619-maratona-de-jogos-na-tv-informe-aqui/page/2/
blogdopaulinho.com.br,NICHO,2,2,14,0,2,0,(sem),http://www.papodebola.com.br/papodemidia/coluna/20,https://blogdopaulinho.com.br/2009/03/21/sete-anos-de-uma-obra-genial/
blogliberdadebomsucesso.com.br,NICHO,8,8,9,0,0,0,(sem),,https://www.blogliberdadebomsucesso.com.br/2012/07/esporte-na-tv_31.html
redebrasildenoticias.com.br,NICHO,6,6,9,0,0,0,Sports,,https://www.redebrasildenoticias.com.br/2015/02/esporte-na-tv_17.html
rsnoticias.top,NICHO,5,5,9,0,1,0,(sem),Sufoco e facilidade na Libertadores/Bela do Dia: K,https://www.rsnoticias.top/2016/04/kelly-costa-reporter-da-rbs-tv-saiba.html
kaweah.freedombox.rocks,NICHO,1,1,7,0,0,0,(sem),Cinco anos da TV Esporte Interativo,https://kaweah.freedombox.rocks/kiwix/content/wikipedia_en_all_maxi_2023-10/A/TNT_Sports_(Brazil)
jonnyken.com,NICHO,2,2,6,0,0,0,(sem),Um dossiê sobre goleiros-artilheiros,https://www.jonnyken.com/blog/2007/09/21/momento-pqp-palmeiras-3x3-guarani-com-gol-de-cabeca-de-gole
